"COUNTRY","Country","SEX","Sex","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.755,,
"CAN","Canada","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,21.115,,
"CAN","Canada","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,20.34,,
"CAN","Canada","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,21.712999,,
"CAN","Canada","MW","All persons","LPI","Low Pay Incidence","2013","2013","IDX","Index","0","units",,,20.981001,,
"CAN","Canada","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.9680001,,
"CAN","Canada","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.932,,
"CAN","Canada","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.951,,
"CAN","Canada","MW","All persons","P5010","Decile 5/Decile 1","2013","2013","P50P10","Interdecile ratio P50/P10","0","units",,,1.932,,
"CAN","Canada","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,3.71,,
"CAN","Canada","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,3.671,,
"CAN","Canada","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,3.7160001,,
"CAN","Canada","MW","All persons","P9010","Decile 9/Decile 1","2013","2013","P90P10","Interdecile ratio P90/P10","0","units",,,3.743,,
"CAN","Canada","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.885,,
"CAN","Canada","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.9,,
"CAN","Canada","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.904,,
"CAN","Canada","MW","All persons","P9050","Decile 9/Decile 5","2013","2013","P90P50","Interdecile ratio P90/P50","0","units",,,1.937,,
"CZE","Czech Republic","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,20.112,,
"CZE","Czech Republic","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,20.082001,,
"CZE","Czech Republic","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,19.68,,
"CZE","Czech Republic","MW","All persons","LPI","Low Pay Incidence","2013","2013","IDX","Index","0","units",,,19.98,,
"CZE","Czech Republic","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.9069999,,
"CZE","Czech Republic","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.8789999,,
"CZE","Czech Republic","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.8789999,,
"CZE","Czech Republic","MW","All persons","P5010","Decile 5/Decile 1","2013","2013","P50P10","Interdecile ratio P50/P10","0","units",,,1.8839999,,
"CZE","Czech Republic","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,3.5109999,,
"CZE","Czech Republic","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,3.4590001,,
"CZE","Czech Republic","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,3.437,,
"CZE","Czech Republic","MW","All persons","P9010","Decile 9/Decile 1","2013","2013","P90P10","Interdecile ratio P90/P10","0","units",,,3.4749999,,
"CZE","Czech Republic","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.841,,
"CZE","Czech Republic","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.841,,
"CZE","Czech Republic","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.829,,
"CZE","Czech Republic","MW","All persons","P9050","Decile 9/Decile 5","2013","2013","P90P50","Interdecile ratio P90/P50","0","units",,,1.844,,
"DNK","Denmark","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,16.728001,,
"DNK","Denmark","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,16.708,,
"DNK","Denmark","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,19.018,,
"DNK","Denmark","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.664,,
"DNK","Denmark","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.665,,
"DNK","Denmark","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.709,,
"DNK","Denmark","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,2.799,,
"DNK","Denmark","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,2.8050001,,
"DNK","Denmark","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,2.8629999,,
"DNK","Denmark","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.683,,
"DNK","Denmark","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.684,,
"DNK","Denmark","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.675,,
"FIN","Finland","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,8.1230001,,
"FIN","Finland","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,9.2709999,,
"FIN","Finland","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,8.9130001,,
"FIN","Finland","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.45,,
"FIN","Finland","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.48,,
"FIN","Finland","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.471,,
"FIN","Finland","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,2.5190001,,
"FIN","Finland","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,2.5840001,,
"FIN","Finland","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,2.5439999,,
"FIN","Finland","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.737,,
"FIN","Finland","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.7460001,,
"FIN","Finland","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.73,,
"FRA","France","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.497,,
"FRA","France","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,2.974,,
"FRA","France","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.987,,
"DEU","Germany","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,18.757999,,
"DEU","Germany","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,19.365999,,
"DEU","Germany","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,18.289,,
"DEU","Germany","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.867,,
"DEU","Germany","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.867,,
"DEU","Germany","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.7690001,,
"DEU","Germany","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,3.3329999,,
"DEU","Germany","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,3.467,,
"DEU","Germany","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,3.2550001,,
"DEU","Germany","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.786,,
"DEU","Germany","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.857,,
"DEU","Germany","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.84,,
"GRC","Greece","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,13.279,,
"GRC","Greece","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,12.265,,
"GRC","Greece","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,11.765,,
"GRC","Greece","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.605,,
"GRC","Greece","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.594,,
"GRC","Greece","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.5470001,,
"GRC","Greece","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,3.2449999,,
"GRC","Greece","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,3.0079999,,
"GRC","Greece","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,2.7079999,,
"GRC","Greece","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,2.0220001,,
"GRC","Greece","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.887,,
"GRC","Greece","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.75,,
"HUN","Hungary","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,21,,
"HUN","Hungary","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,19.99,,
"HUN","Hungary","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,17.389999,,
"HUN","Hungary","MW","All persons","LPI","Low Pay Incidence","2013","2013","IDX","Index","0","units",,,16.809999,,
"HUN","Hungary","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.7819999,,
"HUN","Hungary","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.732,,
"HUN","Hungary","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.598,,
"HUN","Hungary","MW","All persons","P5010","Decile 5/Decile 1","2013","2013","P50P10","Interdecile ratio P50/P10","0","units",,,1.596,,
"HUN","Hungary","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,4.2540002,,
"HUN","Hungary","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,4.0999999,,
"HUN","Hungary","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,3.7639999,,
"HUN","Hungary","MW","All persons","P9010","Decile 9/Decile 1","2013","2013","P90P10","Interdecile ratio P90/P10","0","units",,,3.6930001,,
"HUN","Hungary","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,2.3870001,,
"HUN","Hungary","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,2.368,,
"HUN","Hungary","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,2.3559999,,
"HUN","Hungary","MW","All persons","P9050","Decile 9/Decile 5","2013","2013","P90P50","Interdecile ratio P90/P50","0","units",,,2.3139999,,
"ISL","Iceland","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,16.652,,
"ISL","Iceland","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,14.731,,
"ISL","Iceland","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.712,,
"ISL","Iceland","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.647,,
"ISL","Iceland","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,2.9000001,,
"ISL","Iceland","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,2.8789999,,
"ISL","Iceland","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.6950001,,
"ISL","Iceland","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.748,,
"IRL","Ireland","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,20.5,,
"IRL","Ireland","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,24.200001,,
"IRL","Ireland","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,21.799999,,
"IRL","Ireland","MW","All persons","LPI","Low Pay Incidence","2013","2013","IDX","Index","0","units",,,23.299999,,
"IRL","Ireland","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.9299999,,
"IRL","Ireland","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.9859999,,
"IRL","Ireland","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.867,,
"IRL","Ireland","MW","All persons","P5010","Decile 5/Decile 1","2013","2013","P50P10","Interdecile ratio P50/P10","0","units",,,1.9960001,,
"IRL","Ireland","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,3.8559999,,
"IRL","Ireland","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,3.9130001,,
"IRL","Ireland","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,3.6400001,,
"IRL","Ireland","MW","All persons","P9010","Decile 9/Decile 1","2013","2013","P90P10","Interdecile ratio P90/P10","0","units",,,3.8640001,,
"IRL","Ireland","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.997,,
"IRL","Ireland","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.97,,
"IRL","Ireland","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.95,,
"IRL","Ireland","MW","All persons","P9050","Decile 9/Decile 5","2013","2013","P90P50","Interdecile ratio P90/P50","0","units",,,1.936,,
"ITA","Italy","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,9.5059996,,
"ITA","Italy","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,10.051,,
"ITA","Italy","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.4529999,,
"ITA","Italy","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.518,,
"ITA","Italy","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,2.2219999,,
"ITA","Italy","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,2.3210001,,
"ITA","Italy","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.529,,
"ITA","Italy","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.529,,
"JPN","Japan","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,14.481,,
"JPN","Japan","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,14.403,,
"JPN","Japan","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,14.294,,
"JPN","Japan","MW","All persons","LPI","Low Pay Incidence","2013","2013","IDX","Index","0","units",,,14.228,,
"JPN","Japan","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.615,,
"JPN","Japan","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.615,,
"JPN","Japan","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.612,,
"JPN","Japan","MW","All persons","P5010","Decile 5/Decile 1","2013","2013","P50P10","Interdecile ratio P50/P10","0","units",,,1.6059999,,
"JPN","Japan","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,2.9590001,,
"JPN","Japan","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,2.973,,
"JPN","Japan","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,2.9860001,,
"JPN","Japan","MW","All persons","P9010","Decile 9/Decile 1","2013","2013","P90P10","Interdecile ratio P90/P10","0","units",,,2.957,,
"JPN","Japan","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.832,,
"JPN","Japan","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,1.841,,
"JPN","Japan","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,1.853,,
"JPN","Japan","MW","All persons","P9050","Decile 9/Decile 5","2013","2013","P90P50","Interdecile ratio P90/P50","0","units",,,1.841,,
"KOR","Korea","MW","All persons","LPI","Low Pay Incidence","2010","2010","IDX","Index","0","units",,,24.7094797778286,,
"KOR","Korea","MW","All persons","LPI","Low Pay Incidence","2011","2011","IDX","Index","0","units",,,23.798238210863,,
"KOR","Korea","MW","All persons","LPI","Low Pay Incidence","2012","2012","IDX","Index","0","units",,,23.9096329078154,,
"KOR","Korea","MW","All persons","LPI","Low Pay Incidence","2013","2013","IDX","Index","0","units",,,24.6560474314148,,
"KOR","Korea","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,2.01466275659824,,
"KOR","Korea","MW","All persons","P5010","Decile 5/Decile 1","2011","2011","P50P10","Interdecile ratio P50/P10","0","units",,,1.99906890130354,,
"KOR","Korea","MW","All persons","P5010","Decile 5/Decile 1","2012","2012","P50P10","Interdecile ratio P50/P10","0","units",,,1.97781721384206,,
"KOR","Korea","MW","All persons","P5010","Decile 5/Decile 1","2013","2013","P50P10","Interdecile ratio P50/P10","0","units",,,1.98874458874459,,
"KOR","Korea","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,4.76539589442815,,
"KOR","Korea","MW","All persons","P9010","Decile 9/Decile 1","2011","2011","P90P10","Interdecile ratio P90/P10","0","units",,,4.7951582867784,,
"KOR","Korea","MW","All persons","P9010","Decile 9/Decile 1","2012","2012","P90P10","Interdecile ratio P90/P10","0","units",,,4.62644188110027,,
"KOR","Korea","MW","All persons","P9010","Decile 9/Decile 1","2013","2013","P90P10","Interdecile ratio P90/P10","0","units",,,4.7030303030303,,
"KOR","Korea","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,2.36535662299854,,
"KOR","Korea","MW","All persons","P9050","Decile 9/Decile 5","2011","2011","P90P50","Interdecile ratio P90/P50","0","units",,,2.39869585468095,,
"KOR","Korea","MW","All persons","P9050","Decile 9/Decile 5","2012","2012","P90P50","Interdecile ratio P90/P50","0","units",,,2.33916554508748,,
"KOR","Korea","MW","All persons","P9050","Decile 9/Decile 5","2013","2013","P90P50","Interdecile ratio P90/P50","0","units",,,2.36482368306487,,
"NLD","Netherlands","MW","All persons","P5010","Decile 5/Decile 1","2010","2010","P50P10","Interdecile ratio P50/P10","0","units",,,1.617,,
"NLD","Netherlands","MW","All persons","P9010","Decile 9/Decile 1","2010","2010","P90P10","Interdecile ratio P90/P10","0","units",,,2.885,,
"NLD","Netherlands","MW","All persons","P9050","Decile 9/Decile 5","2010","2010","P90P50","Interdecile ratio P90/P50","0","units",,,1.784,,
